scenario,method,metric,mean,std,n_valid
robustness_stress,baseline_rl,wait_hold_usage_eval,0.24930555555555556,0.01067729505210143,6
robustness_stress,baseline_rl,mean_progress_delta_eval,0.0026932464912533764,0.0017039452963657912,6
robustness_stress,baseline_rl,safety_capacity_index,,,6
robustness_stress,full_outer_loop,selection_score,0.38299915745060736,0.05969949216621833,6
robustness_stress,full_outer_loop,min_recovery_ratio,0.6041431509786183,0.01652527282414863,6
robustness_stress,full_outer_loop,critical_load_recovery_ratio,0.8917454746034411,0.026209119706550984,6
robustness_stress,full_outer_loop,communication_recovery_ratio,0.6499165743589401,0.017001917090206323,6
robustness_stress,full_outer_loop,power_recovery_ratio,0.8065347837077246,0.012326001061256444,6
robustness_stress,full_outer_loop,road_recovery_ratio,0.6041431509786183,0.01652527282414863,6
robustness_stress,full_outer_loop,constraint_violation_rate_eval,0.0,0.0,6
robustness_stress,full_outer_loop,invalid_action_rate_eval,0.0,0.0,6
robustness_stress,full_outer_loop,wait_hold_usage_eval,0.30670662513882846,0.04751124074055985,6
robustness_stress,full_outer_loop,mean_progress_delta_eval,0.004794798642247766,0.00014352681114094819,6
robustness_stress,full_outer_loop,safety_capacity_index,0.8235610189537207,0.0037639730796349075,6
robustness_stress,single_shot_llm,selection_score,0.37713586002456906,0.06521710686859221,6
robustness_stress,single_shot_llm,min_recovery_ratio,0.6041397038433287,0.016529016474687394,6
robustness_stress,single_shot_llm,critical_load_recovery_ratio,0.8867974347538419,0.0218400050463883,6
robustness_stress,single_shot_llm,communication_recovery_ratio,0.6420972446600596,0.03025551590504197,6
robustness_stress,single_shot_llm,power_recovery_ratio,0.7972318844662771,0.020809912030044026,6
robustness_stress,single_shot_llm,road_recovery_ratio,0.6130498001972835,0.020724680494360468,6
robustness_stress,single_shot_llm,constraint_violation_rate_eval,0.013194444444444444,0.03231965632838916,6
robustness_stress,single_shot_llm,invalid_action_rate_eval,0.013194444444444444,0.03231965632838916,6
robustness_stress,single_shot_llm,wait_hold_usage_eval,0.3025399584721618,0.043915269722072596,6
robustness_stress,single_shot_llm,mean_progress_delta_eval,0.004700517629434516,0.00023528900603038392,6
robustness_stress,single_shot_llm,safety_capacity_index,0.8178696651756764,0.011676043267129104,6
