scenario,method,metric,mean,std,n_valid,evidence_level,excluded_from_main
standard_severe,ablation_fixed_global,road_recovery_ratio,0.622740861442354,0.0035272684471744013,3,per_seed_n3,False
standard_severe,ablation_fixed_global,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3,False
standard_severe,ablation_fixed_global,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3,False
standard_severe,ablation_fixed_global,wait_hold_usage_eval,0.2627492877492877,0.0031225513129320365,3,per_seed_n3,False
standard_severe,ablation_fixed_global,mean_progress_delta_eval,0.004798111901268867,0.00013556522631363302,3,per_seed_n3,False
standard_severe,ablation_fixed_global,eval_success_rate,0.2222222222222222,0.15713484026367722,3,per_seed_n3,False
standard_severe,ablation_fixed_global,safety_capacity_index,0.8249259122543865,0.002457837106590726,3,per_seed_n3,False
standard_severe,baseline_rl,selection_score,0.3132951339540027,0.04477504255245907,3,per_seed_n3,False
standard_severe,baseline_rl,min_recovery_ratio,0.5867565506034428,0.045121988463924866,3,per_seed_n3,False
standard_severe,baseline_rl,critical_load_recovery_ratio,0.8495023283693526,0.04860557255903047,3,per_seed_n3,False
standard_severe,baseline_rl,communication_recovery_ratio,0.6248774760299259,0.04251195334378001,3,per_seed_n3,False
standard_severe,baseline_rl,power_recovery_ratio,0.8108289076222314,0.009357266976441885,3,per_seed_n3,False
standard_severe,baseline_rl,road_recovery_ratio,0.5867565506034428,0.045121988463924866,3,per_seed_n3,False
standard_severe,baseline_rl,constraint_violation_rate_eval,0.08055555555555553,0.11392275919116597,3,per_seed_n3,False
standard_severe,baseline_rl,invalid_action_rate_eval,0.08055555555555553,0.11392275919116597,3,per_seed_n3,False
standard_severe,baseline_rl,wait_hold_usage_eval,0.25555555555555554,0.010393492741038726,3,per_seed_n3,False
standard_severe,baseline_rl,mean_progress_delta_eval,0.0041764344606133996,0.0006620234334772431,3,per_seed_n3,False
standard_severe,baseline_rl,eval_success_rate,0.0,0.0,3,per_seed_n3,False
standard_severe,baseline_rl,safety_capacity_index,0.7785239409738117,0.06673470811620077,3,per_seed_n3,False
standard_severe,full_outer_loop,selection_score,0.41903254133200174,0.05780613586609133,3,per_seed_n3,False
standard_severe,full_outer_loop,min_recovery_ratio,0.6191268596384261,0.0024729673332624215,3,per_seed_n3,False
standard_severe,full_outer_loop,critical_load_recovery_ratio,0.868503150012758,0.0061325108388124135,3,per_seed_n3,False
standard_severe,full_outer_loop,communication_recovery_ratio,0.6637784143288931,0.009872772696457654,3,per_seed_n3,False
standard_severe,full_outer_loop,power_recovery_ratio,0.801904946565628,0.012378471407693567,3,per_seed_n3,False
standard_severe,full_outer_loop,road_recovery_ratio,0.6191268596384261,0.0024729673332624215,3,per_seed_n3,False
standard_severe,full_outer_loop,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3,False
standard_severe,full_outer_loop,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3,False
standard_severe,full_outer_loop,wait_hold_usage_eval,0.26341325027765705,0.0036829400537113765,3,per_seed_n3,False
standard_severe,full_outer_loop,mean_progress_delta_eval,0.004752905947996133,0.0001685153496806573,3,per_seed_n3,False
standard_severe,full_outer_loop,eval_success_rate,0.16666666666666663,0.13608276348795434,3,per_seed_n3,False
standard_severe,full_outer_loop,safety_capacity_index,0.8206705033779145,0.0018985734018629418,3,per_seed_n3,False
standard_severe,single_shot_llm,selection_score,0.41903254133200174,0.05780613586609133,3,per_seed_n3,False
standard_severe,single_shot_llm,min_recovery_ratio,0.6191268596384261,0.0024729673332624215,3,per_seed_n3,False
standard_severe,single_shot_llm,critical_load_recovery_ratio,0.868503150012758,0.0061325108388124135,3,per_seed_n3,False
standard_severe,single_shot_llm,communication_recovery_ratio,0.6637784143288931,0.009872772696457654,3,per_seed_n3,False
standard_severe,single_shot_llm,power_recovery_ratio,0.801904946565628,0.012378471407693567,3,per_seed_n3,False
standard_severe,single_shot_llm,road_recovery_ratio,0.6191268596384261,0.0024729673332624215,3,per_seed_n3,False
standard_severe,single_shot_llm,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3,False
standard_severe,single_shot_llm,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3,False
standard_severe,single_shot_llm,wait_hold_usage_eval,0.26341325027765705,0.0036829400537113765,3,per_seed_n3,False
standard_severe,single_shot_llm,mean_progress_delta_eval,0.004752905947996133,0.0001685153496806573,3,per_seed_n3,False
standard_severe,single_shot_llm,eval_success_rate,0.16666666666666663,0.13608276348795434,3,per_seed_n3,False
standard_severe,single_shot_llm,safety_capacity_index,0.8206705033779145,0.0018985734018629418,3,per_seed_n3,False
