scenario,method,seed,action,action_category,usage_rate
resource_moderate,full_outer_loop,42,6,,0.016666666666666666
resource_moderate,full_outer_loop,42,7,,0.03
resource_moderate,full_outer_loop,42,8,,0.02666666666666667
resource_moderate,full_outer_loop,42,9,,0.12333333333333334
resource_moderate,full_outer_loop,42,10,,0.17333333333333334
resource_moderate,full_outer_loop,42,11,,0.08
resource_moderate,full_outer_loop,42,12,,0.16
resource_moderate,full_outer_loop,42,13,,0.03333333333333333
resource_moderate,full_outer_loop,42,14,,0.21333333333333335
resource_moderate,full_outer_loop,43,0,,0.04666666666666667
resource_moderate,full_outer_loop,43,1,,0.03
resource_moderate,full_outer_loop,43,2,,0.02666666666666667
resource_moderate,full_outer_loop,43,3,,0.013333333333333334
resource_moderate,full_outer_loop,43,4,,0.02
resource_moderate,full_outer_loop,43,5,,0.006666666666666667
resource_moderate,full_outer_loop,43,6,,0.02
resource_moderate,full_outer_loop,43,7,,0.03
resource_moderate,full_outer_loop,43,8,,0.02
resource_moderate,full_outer_loop,43,9,,0.09
resource_moderate,full_outer_loop,43,10,,0.16
resource_moderate,full_outer_loop,43,11,,0.11
resource_moderate,full_outer_loop,43,12,,0.21
resource_moderate,full_outer_loop,43,13,,0.016666666666666666
resource_moderate,full_outer_loop,43,14,,0.2
resource_moderate,full_outer_loop,44,0,,0.02666666666666667
resource_moderate,full_outer_loop,44,1,,0.023333333333333334
resource_moderate,full_outer_loop,44,2,,0.02666666666666667
resource_moderate,full_outer_loop,44,3,,0.02666666666666667
resource_moderate,full_outer_loop,44,4,,0.016666666666666666
resource_moderate,full_outer_loop,44,5,,0.03666666666666667
resource_moderate,full_outer_loop,44,6,,0.023333333333333334
resource_moderate,full_outer_loop,44,7,,0.013333333333333334
resource_moderate,full_outer_loop,44,8,,0.013333333333333334
resource_moderate,full_outer_loop,44,9,,0.12
resource_moderate,full_outer_loop,44,10,,0.10333333333333333
resource_moderate,full_outer_loop,44,11,,0.13333333333333333
resource_moderate,full_outer_loop,44,12,,0.2
resource_moderate,full_outer_loop,44,13,,0.03
resource_moderate,full_outer_loop,44,14,,0.20666666666666667
resource_moderate,single_shot_llm,43,0,,0.08833333333333333
resource_moderate,single_shot_llm,43,1,,0.051666666666666666
resource_moderate,single_shot_llm,43,2,,0.1
resource_moderate,single_shot_llm,43,3,,0.03166666666666667
resource_moderate,single_shot_llm,43,4,,0.03166666666666667
resource_moderate,single_shot_llm,43,5,,0.021666666666666667
resource_moderate,single_shot_llm,43,6,,0.11666666666666667
resource_moderate,single_shot_llm,43,7,,0.06
resource_moderate,single_shot_llm,43,8,,0.12333333333333334
resource_moderate,single_shot_llm,43,9,,0.016666666666666666
resource_moderate,single_shot_llm,43,10,,0.015
resource_moderate,single_shot_llm,43,11,,0.023333333333333334
resource_moderate,single_shot_llm,43,12,,0.011666666666666667
resource_moderate,single_shot_llm,43,13,,0.005
resource_moderate,single_shot_llm,43,14,,0.30333333333333334
resource_moderate,single_shot_llm,44,0,,0.10666666666666667
resource_moderate,single_shot_llm,44,1,,0.051666666666666666
resource_moderate,single_shot_llm,44,2,,0.105
resource_moderate,single_shot_llm,44,3,,0.023333333333333334
resource_moderate,single_shot_llm,44,4,,0.023333333333333334
resource_moderate,single_shot_llm,44,5,,0.025
resource_moderate,single_shot_llm,44,6,,0.10666666666666667
resource_moderate,single_shot_llm,44,7,,0.07166666666666667
resource_moderate,single_shot_llm,44,8,,0.12666666666666668
resource_moderate,single_shot_llm,44,9,,0.015
resource_moderate,single_shot_llm,44,10,,0.018333333333333333
resource_moderate,single_shot_llm,44,11,,0.016666666666666666
resource_moderate,single_shot_llm,44,12,,0.016666666666666666
resource_moderate,single_shot_llm,44,13,,0.0033333333333333335
resource_moderate,single_shot_llm,44,14,,0.29
