scenario,method,seed,phase,episode,reward
standard_moderate,full_outer_loop,43,eval,3,1.2593465091451073
standard_moderate,full_outer_loop,43,eval,4,0.5701406853366645
standard_moderate,full_outer_loop,43,eval,5,1.8179999918816614
standard_moderate,full_outer_loop,44,train,0,1.5275836314132436
standard_moderate,full_outer_loop,44,train,1,0.3090992538682128
standard_moderate,full_outer_loop,44,train,2,-1.8523949035435394
standard_moderate,full_outer_loop,44,train,3,0.44619080121970334
standard_moderate,full_outer_loop,44,train,4,0.05012491430808447
standard_moderate,full_outer_loop,44,train,5,2.2416856571791546
standard_moderate,full_outer_loop,44,train,6,1.51062052287019
standard_moderate,full_outer_loop,44,train,7,0.21005649346855207
standard_moderate,full_outer_loop,44,train,8,1.5855887891504183
standard_moderate,full_outer_loop,44,train,9,0.1413441230946221
standard_moderate,full_outer_loop,44,train,10,0.0570297985983912
standard_moderate,full_outer_loop,44,train,11,1.5143856037430263
standard_moderate,full_outer_loop,44,train,12,1.4331206606347697
standard_moderate,full_outer_loop,44,train,13,0.36797110610174866
standard_moderate,full_outer_loop,44,train,14,1.3602083896265889
standard_moderate,full_outer_loop,44,train,15,1.7931919344920664
standard_moderate,full_outer_loop,44,train,16,0.5134067124805415
standard_moderate,full_outer_loop,44,train,17,2.260775358311407
standard_moderate,full_outer_loop,44,train,18,0.9300796369967574
standard_moderate,full_outer_loop,44,train,19,0.3342002147517328
standard_moderate,full_outer_loop,44,eval,0,1.0436201276117938
standard_moderate,full_outer_loop,44,eval,1,0.39267045025713765
standard_moderate,full_outer_loop,44,eval,2,1.100866703306092
standard_moderate,full_outer_loop,44,eval,3,1.0384335092594847
standard_moderate,full_outer_loop,44,eval,4,0.33261862426996247
standard_moderate,full_outer_loop,44,eval,5,1.0479974389029665
resource_moderate,baseline_rl,42,train,0,-0.5428768506144115
resource_moderate,baseline_rl,42,train,1,-0.31527018767388654
resource_moderate,baseline_rl,42,train,2,-2.9627959670730344
resource_moderate,baseline_rl,42,train,3,-0.3737993141396145
resource_moderate,baseline_rl,42,train,4,-0.01848025287297781
resource_moderate,baseline_rl,42,train,5,-1.96786846270712
resource_moderate,baseline_rl,42,train,6,-2.0339579055827195
resource_moderate,baseline_rl,42,train,7,-0.1537161548109724
resource_moderate,baseline_rl,42,train,8,-2.127920799310474
resource_moderate,baseline_rl,42,train,9,-1.938191780314009
resource_moderate,baseline_rl,42,train,10,-0.49843553142243757
resource_moderate,baseline_rl,42,train,11,-4.830910901111759
resource_moderate,baseline_rl,42,train,12,-1.8828334827444633
resource_moderate,baseline_rl,42,train,13,-0.1853720040545158
resource_moderate,baseline_rl,42,train,14,-0.3929605490574613
resource_moderate,baseline_rl,42,train,15,-0.4252755243044522
resource_moderate,baseline_rl,42,train,16,-0.4940366177732357
resource_moderate,baseline_rl,42,train,17,-0.5983616956755576
resource_moderate,baseline_rl,42,train,18,-0.40165657042758535
resource_moderate,baseline_rl,42,train,19,-0.2399772209384536
resource_moderate,baseline_rl,42,eval,0,0.08273024800349962
resource_moderate,baseline_rl,42,eval,1,0.189650494158268
resource_moderate,baseline_rl,42,eval,2,-0.009038650925503967
resource_moderate,baseline_rl,42,eval,3,0.13958309196867047
resource_moderate,baseline_rl,42,eval,4,0.19007762420922525
resource_moderate,baseline_rl,42,eval,5,-0.008299914991948688
resource_moderate,baseline_rl,43,train,0,-2.3145530566466914
resource_moderate,baseline_rl,43,train,1,-0.31969313615569256
resource_moderate,baseline_rl,43,train,2,-0.5982750987926555
resource_moderate,baseline_rl,43,train,3,-0.41716716375405666
resource_moderate,baseline_rl,43,train,4,-1.4552998023417605
resource_moderate,baseline_rl,43,train,5,-1.971941843975801
resource_moderate,baseline_rl,43,train,6,-4.834055890130208
resource_moderate,baseline_rl,43,train,7,-0.20119724659380153
resource_moderate,baseline_rl,43,train,8,-0.4752255449573567
resource_moderate,baseline_rl,43,train,9,-0.6974430917989229
resource_moderate,baseline_rl,43,train,10,-0.25389386529684993
resource_moderate,baseline_rl,43,train,11,-0.5430613211658782
resource_moderate,baseline_rl,43,train,12,-0.4191119848610833
resource_moderate,baseline_rl,43,train,13,-2.607698997558958
resource_moderate,baseline_rl,43,train,14,-0.7811021154034825
resource_moderate,baseline_rl,43,train,15,-2.5895228480041985
resource_moderate,baseline_rl,43,train,16,-0.1901783358737884
resource_moderate,baseline_rl,43,train,17,-0.623852176808068
resource_moderate,baseline_rl,43,train,18,-0.5786529095470905
resource_moderate,baseline_rl,43,train,19,-0.11965051239953023
resource_moderate,baseline_rl,43,eval,0,0.14884753169491893
resource_moderate,baseline_rl,43,eval,1,0.2982829834893347
resource_moderate,baseline_rl,43,eval,2,0.04554386150091895
resource_moderate,baseline_rl,43,eval,3,0.16936253303661947
resource_moderate,baseline_rl,43,eval,4,0.30082878522574913
resource_moderate,baseline_rl,43,eval,5,0.04294832173734911
resource_moderate,baseline_rl,44,train,0,-0.38232347501747427
resource_moderate,baseline_rl,44,train,1,-0.3409239358920603
resource_moderate,baseline_rl,44,train,2,-1.914471996030552
resource_moderate,baseline_rl,44,train,3,-2.935423462045049
resource_moderate,baseline_rl,44,train,4,-1.796667162926266
resource_moderate,baseline_rl,44,train,5,-2.728280936231046
resource_moderate,baseline_rl,44,train,6,-0.4986468016890285
resource_moderate,baseline_rl,44,train,7,-0.20625377017873683
resource_moderate,baseline_rl,44,train,8,-0.6166338180740422
resource_moderate,baseline_rl,44,train,9,-1.9116858646071342
resource_moderate,baseline_rl,44,train,10,-0.08324520268681224
resource_moderate,baseline_rl,44,train,11,-2.0450528755963746
resource_moderate,baseline_rl,44,train,12,-4.384687531752401
resource_moderate,baseline_rl,44,train,13,-0.4476216939477309
resource_moderate,baseline_rl,44,train,14,-0.600339090922207
resource_moderate,baseline_rl,44,train,15,-1.983199018059968
resource_moderate,baseline_rl,44,train,16,-0.13667241725939672
resource_moderate,baseline_rl,44,train,17,-0.4272620271904452
resource_moderate,baseline_rl,44,train,18,-0.45597419488767627
resource_moderate,baseline_rl,44,train,19,-0.1693336645599629
resource_moderate,baseline_rl,44,eval,0,0.0826302777463571
resource_moderate,baseline_rl,44,eval,1,0.29444202438666267
resource_moderate,baseline_rl,44,eval,2,-0.08300624197385323
resource_moderate,baseline_rl,44,eval,3,0.0826302777463571
resource_moderate,baseline_rl,44,eval,4,0.29444202438666267
resource_moderate,baseline_rl,44,eval,5,-0.08300624197385323
resource_moderate,full_outer_loop,42,train,0,-2.4237930705295008
resource_moderate,full_outer_loop,42,train,1,-0.3351649357940186
resource_moderate,full_outer_loop,42,train,2,-2.358239271785739
resource_moderate,full_outer_loop,42,train,3,-0.4292732472441275
resource_moderate,full_outer_loop,42,train,4,-0.23270568848645784
resource_moderate,full_outer_loop,42,train,5,-1.891688929512166
resource_moderate,full_outer_loop,42,train,6,-0.37949896137230094
resource_moderate,full_outer_loop,42,train,7,-0.20883645759400674
resource_moderate,full_outer_loop,42,train,8,-0.6841847343472909
resource_moderate,full_outer_loop,42,train,9,-2.1176580473664215
resource_moderate,full_outer_loop,42,train,10,-0.12454292373062337
resource_moderate,full_outer_loop,42,train,11,-0.6483141057123429
resource_moderate,full_outer_loop,42,train,12,-0.5233657089987536
resource_moderate,full_outer_loop,42,train,13,-0.2694234421662986
resource_moderate,full_outer_loop,42,train,14,-0.48018245883518823
resource_moderate,full_outer_loop,42,train,15,-0.5888111434066376
resource_moderate,full_outer_loop,42,train,16,-0.30243002278424685
resource_moderate,full_outer_loop,42,train,17,-2.968193151695208
resource_moderate,full_outer_loop,42,train,18,-0.5615934687058325
resource_moderate,full_outer_loop,42,train,19,-1.636460274053825
resource_moderate,full_outer_loop,42,eval,0,0.15494435091502967
resource_moderate,full_outer_loop,42,eval,1,0.2476510555297137
resource_moderate,full_outer_loop,42,eval,2,0.07315741028636699
resource_moderate,full_outer_loop,42,eval,3,0.15494435091502967
resource_moderate,full_outer_loop,42,eval,4,0.2476510555297137
resource_moderate,full_outer_loop,42,eval,5,0.07315741028636699
resource_moderate,full_outer_loop,43,train,0,-0.6896939473059224
resource_moderate,full_outer_loop,43,train,1,-0.6835538607682654
resource_moderate,full_outer_loop,43,train,2,-6.623882187472191
resource_moderate,full_outer_loop,43,train,3,-0.7170260471221247
resource_moderate,full_outer_loop,43,train,4,-0.670942871658581
resource_moderate,full_outer_loop,43,train,5,-0.7791393513566814
resource_moderate,full_outer_loop,43,train,6,-0.8079614216029984
resource_moderate,full_outer_loop,43,train,7,-0.43216493993968746
resource_moderate,full_outer_loop,43,train,8,-7.180861496761667
resource_moderate,full_outer_loop,43,train,9,-4.272495751811471
resource_moderate,full_outer_loop,43,train,10,-0.43900512443694606
resource_moderate,full_outer_loop,43,train,11,-1.1042536629253066
resource_moderate,full_outer_loop,43,train,12,-4.135385880344974
resource_moderate,full_outer_loop,43,train,13,-0.6397969224503264
resource_moderate,full_outer_loop,43,train,14,-4.4806804429303275
resource_moderate,full_outer_loop,43,train,15,-0.7571814439828158
resource_moderate,full_outer_loop,43,train,16,-0.5630333139452297
resource_moderate,full_outer_loop,43,train,17,-1.1439306315588917
resource_moderate,full_outer_loop,43,train,18,-0.7566271883310939
resource_moderate,full_outer_loop,43,train,19,-0.6438616034694393
resource_moderate,full_outer_loop,43,eval,0,0.19532746070995927
