scenario,method,step,layer,mean_recovery_ratio,std_recovery_ratio,n_seeds
standard_severe,baseline_rl,31,power,0.768877430094613,0.008763730243822123,3
standard_severe,baseline_rl,31,road,0.5706433355808258,0.04136624059291131,3
standard_severe,baseline_rl,32,communication,0.6094275150034163,0.03875890543800806,3
standard_severe,baseline_rl,32,critical_load,0.8187653786606259,0.05100280839012667,3
standard_severe,baseline_rl,32,power,0.776108079486423,0.006423608505791141,3
standard_severe,baseline_rl,32,road,0.5706433355808258,0.04136624059291131,3
standard_severe,baseline_rl,33,communication,0.6145093275441064,0.043131020285443925,3
standard_severe,baseline_rl,33,critical_load,0.8262224627865686,0.052940830958394455,3
standard_severe,baseline_rl,33,power,0.7846998506122166,0.007798671659927452,3
standard_severe,baseline_rl,33,road,0.5759854945871565,0.045969654668347223,3
standard_severe,baseline_rl,34,communication,0.6145093275441064,0.043131020285443925,3
standard_severe,baseline_rl,34,critical_load,0.8262658251656427,0.052866574680682656,3
standard_severe,baseline_rl,34,power,0.7856701148880854,0.009276639987795116,3
standard_severe,baseline_rl,34,road,0.5759854945871565,0.045969654668347223,3
standard_severe,baseline_rl,35,communication,0.6196590231524574,0.04756696904581304,3
standard_severe,baseline_rl,35,critical_load,0.8336391283406152,0.05486613110860333,3
standard_severe,baseline_rl,35,power,0.7924166288640765,0.00821874292379333,3
standard_severe,baseline_rl,35,road,0.5813564823733436,0.05060214608361757,3
standard_severe,baseline_rl,36,communication,0.6196590231524574,0.04756696904581304,3
standard_severe,baseline_rl,36,critical_load,0.8337324361006418,0.05470655208398274,3
standard_severe,baseline_rl,36,power,0.7947146230273776,0.011638552029105673,3
standard_severe,baseline_rl,36,road,0.5813564823733436,0.05060214608361757,3
standard_severe,baseline_rl,37,communication,0.6196590231524574,0.04756696904581304,3
standard_severe,baseline_rl,37,critical_load,0.8386688099967109,0.05481536193107306,3
standard_severe,baseline_rl,37,power,0.7994238138198853,0.011598467805941913,3
standard_severe,baseline_rl,37,road,0.5813564823733436,0.05060214608361757,3
standard_severe,baseline_rl,38,communication,0.6225757168398963,0.0500812862737546,3
standard_severe,baseline_rl,38,critical_load,0.8470058275593652,0.057395656433891246,3
standard_severe,baseline_rl,38,power,0.8079247772693634,0.011139233420591902,3
standard_severe,baseline_rl,38,road,0.5841826564735837,0.053041058627332556,3
standard_severe,baseline_rl,39,communication,0.6248774760299259,0.05206629683063308,3
standard_severe,baseline_rl,39,critical_load,0.8495023283693525,0.05952942571272431,3
standard_severe,baseline_rl,39,power,0.8108289076222315,0.011460264739639106,3
standard_severe,baseline_rl,39,road,0.5867565506034428,0.05526292395818243,3
