scenario,method,step,layer,mean_recovery_ratio,std_recovery_ratio,n_seeds
resource_moderate,baseline_rl,13,communication,0.48509666323661804,0.0008917634308677414,3
resource_moderate,baseline_rl,13,critical_load,0.7035287155045403,0.0007654114275442611,3
resource_moderate,baseline_rl,13,power,0.5904763241608938,0.0008960310291219875,3
resource_moderate,baseline_rl,13,road,0.4269991119702657,0.0010368757261198435,3
resource_moderate,baseline_rl,14,communication,0.48509666323661804,0.0008917634308677414,3
resource_moderate,baseline_rl,14,critical_load,0.708681348297331,0.0010245366761881137,3
resource_moderate,baseline_rl,14,power,0.5949192378256055,0.0008933996883151186,3
resource_moderate,baseline_rl,14,road,0.4269991119702657,0.0010368757261198435,3
resource_moderate,baseline_rl,15,communication,0.48509666323661804,0.0008917634308677414,3
resource_moderate,baseline_rl,15,critical_load,0.7151562803321415,0.0010334354373663429,3
resource_moderate,baseline_rl,15,power,0.5993489490614997,0.000893303629812681,3
resource_moderate,baseline_rl,15,road,0.4269991119702657,0.0010368757261198435,3
resource_moderate,baseline_rl,16,communication,0.48509666323661804,0.0008917634308677414,3
resource_moderate,baseline_rl,16,critical_load,0.7168095674779681,0.0008654774210862158,3
resource_moderate,baseline_rl,16,power,0.5993323988384671,0.0008950385725439849,3
resource_moderate,baseline_rl,16,road,0.4269991119702657,0.0010368757261198435,3
resource_moderate,baseline_rl,17,communication,0.48509666323661804,0.0008917634308677414,3
resource_moderate,baseline_rl,17,critical_load,0.7193431589338514,0.0022897224503090224,3
resource_moderate,baseline_rl,17,power,0.6000561515490214,0.002175574187632372,3
resource_moderate,baseline_rl,17,road,0.4269991119702657,0.0010368757261198435,3
resource_moderate,baseline_rl,18,communication,0.48509666323661804,0.0008917634308677414,3
resource_moderate,baseline_rl,18,critical_load,0.7240970664554172,0.0008613771339523512,3
resource_moderate,baseline_rl,18,power,0.6037539905971951,0.0008950753900746391,3
resource_moderate,baseline_rl,18,road,0.4269991119702657,0.0010368757261198435,3
resource_moderate,baseline_rl,19,communication,0.4856456948651208,0.0018404529684400805,3
resource_moderate,baseline_rl,19,critical_load,0.7262623144520653,0.0020198581542796266,3
resource_moderate,baseline_rl,19,power,0.6042885780334473,0.0018446370325433691,3
