scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
standard_severe,rule_based_greedy,5,0.048367063204447426,0.015585138833396775,3
standard_severe,rule_based_greedy,6,0.05186707774798075,0.015585138787273837,3
standard_severe,rule_based_greedy,7,0.055367082357406616,0.015585152882321021,3
standard_severe,rule_based_greedy,8,0.06309271852175395,0.015049134419604454,3
standard_severe,rule_based_greedy,9,0.06935442818535699,0.01693091589657523,3
standard_severe,rule_based_greedy,10,0.0727080073621538,0.017141122282875672,3
standard_severe,rule_based_greedy,11,0.07591962979899512,0.017551669169439763,3
standard_severe,rule_based_greedy,12,0.07915630771054162,0.01793479352220692,3
standard_severe,rule_based_greedy,13,0.0848502086268531,0.020200072131043155,3
standard_severe,rule_based_greedy,14,0.0909079263607661,0.02262342157162506,3
standard_severe,rule_based_greedy,15,0.09402476747830708,0.02317261869716314,3
standard_severe,rule_based_greedy,16,0.09700609743595123,0.023657090306954877,3
standard_severe,rule_based_greedy,17,0.09979621569315593,0.024053785991373117,3
standard_severe,rule_based_greedy,18,0.10204005738099416,0.02399409328240188,3
standard_severe,rule_based_greedy,19,0.10401932729615106,0.02403418674253352,3
standard_severe,rule_based_greedy,20,0.10575823816988203,0.023841812809864117,3
standard_severe,rule_based_greedy,21,0.11036684446864659,0.025392998405962777,3
standard_severe,rule_based_greedy,22,0.11286907560295528,0.025784570874283968,3
standard_severe,rule_based_greedy,23,0.11552909347746107,0.02618901025967036,3
standard_severe,rule_based_greedy,24,0.11860146125157674,0.026801522282775783,3
standard_severe,rule_based_greedy,25,0.12064192195733388,0.026705507790863958,3
standard_severe,rule_based_greedy,26,0.12355798648463355,0.02722140371320234,3
standard_severe,rule_based_greedy,27,0.12553410397635567,0.02692580933289258,3
standard_severe,rule_based_greedy,28,0.128371419178115,0.02753519801126896,3
standard_severe,rule_based_greedy,29,0.13087929288546243,0.027934964640808618,3
standard_severe,rule_based_greedy,30,0.13320634265740713,0.02803690326660234,3
standard_severe,rule_based_greedy,31,0.1333678399815279,0.027657860303825606,3
standard_severe,rule_based_greedy,32,0.1354153664673076,0.02766041486929825,3
standard_severe,rule_based_greedy,33,0.1370424523073084,0.027359115972125297,3
standard_severe,rule_based_greedy,34,0.13879845773472504,0.027295752765994743,3
standard_severe,rule_based_greedy,35,0.1413329716990976,0.02766773879760968,3
standard_severe,rule_based_greedy,36,0.14330252479104436,0.0278305817070112,3
standard_severe,rule_based_greedy,37,0.145629660171621,0.028273545338070184,3
standard_severe,rule_based_greedy,38,0.1452966849009196,0.029196185420374377,3
standard_severe,rule_based_greedy,39,0.14546810303415572,0.02968190998785949,3
